avaliacao_id;funcionario_id;ciclo;data_avaliacao;nota_desempenho;engajamento_score;recomendado_promocao
1;1;2024-S1;2024-06-15;4.0;89;f
2;1;2024-S2;2024-12-10;2.6;62;f
3;2;2024-S1;2024-06-15;2.7;60;f
4;2;2024-S2;2024-12-10;3.6;80;f
5;3;2024-S1;2024-06-15;4.9;90;f
6;3;2024-S2;2024-12-10;3.6;47;f
7;4;2024-S2;2024-12-10;3.0;62;f
8;5;2024-S1;2024-06-15;3.0;32;f
9;5;2024-S2;2024-12-10;1.5;48;f
10;6;2024-S1;2024-06-15;4.2;100;f
11;6;2024-S2;2024-12-10;3.1;59;f
12;7;2024-S1;2024-06-15;2.1;50;f
13;7;2024-S2;2024-12-10;3.1;59;f
14;9;2024-S1;2024-06-15;3.4;80;f
15;9;2024-S2;2024-12-10;4.0;64;f
16;10;2024-S1;2024-06-15;3.7;52;f
17;10;2024-S2;2024-12-10;3.4;53;f
18;11;2024-S1;2024-06-15;3.3;97;f
19;12;2024-S1;2024-06-15;3.8;63;f
20;12;2024-S2;2024-12-10;4.0;66;f
21;13;2024-S1;2024-06-15;4.6;76;f
22;13;2024-S2;2024-12-10;3.1;90;f
23;14;2024-S1;2024-06-15;4.0;78;f
24;14;2024-S2;2024-12-10;4.2;82;f
25;15;2024-S1;2024-06-15;4.0;69;f
26;15;2024-S2;2024-12-10;4.2;69;f
27;16;2024-S1;2024-06-15;4.4;78;f
28;16;2024-S2;2024-12-10;3.8;80;f
29;17;2024-S2;2024-12-10;3.8;89;f
30;18;2024-S2;2024-12-10;4.2;73;f
31;20;2024-S1;2024-06-15;1.9;84;f
32;20;2024-S2;2024-12-10;3.9;100;f
33;21;2024-S1;2024-06-15;3.0;68;f
34;21;2024-S2;2024-12-10;2.8;61;f
35;22;2024-S1;2024-06-15;4.6;48;f
36;22;2024-S2;2024-12-10;2.9;80;f
37;23;2024-S1;2024-06-15;3.8;67;f
38;23;2024-S2;2024-12-10;2.3;89;f
39;24;2024-S1;2024-06-15;3.6;57;f
40;24;2024-S2;2024-12-10;3.9;89;f
41;25;2024-S1;2024-06-15;3.6;62;f
42;25;2024-S2;2024-12-10;3.7;77;f
43;27;2024-S2;2024-12-10;4.0;68;f
44;28;2024-S1;2024-06-15;4.4;59;f
45;28;2024-S2;2024-12-10;3.6;69;f
46;29;2024-S1;2024-06-15;2.9;77;f
47;29;2024-S2;2024-12-10;3.8;69;f
48;30;2024-S2;2024-12-10;4.0;69;f
49;31;2024-S1;2024-06-15;4.5;78;f
50;31;2024-S2;2024-12-10;3.9;62;f
51;32;2024-S1;2024-06-15;2.7;83;f
52;32;2024-S2;2024-12-10;2.7;68;f
53;33;2024-S1;2024-06-15;4.2;59;f
54;33;2024-S2;2024-12-10;3.4;52;f
55;34;2024-S1;2024-06-15;3.2;60;f
56;34;2024-S2;2024-12-10;3.4;73;f
57;35;2024-S1;2024-06-15;3.8;92;f
58;35;2024-S2;2024-12-10;3.4;79;f
59;36;2024-S1;2024-06-15;3.4;95;f
60;36;2024-S2;2024-12-10;3.8;69;f
61;37;2024-S1;2024-06-15;3.3;84;f
62;37;2024-S2;2024-12-10;3.8;74;f
63;38;2024-S1;2024-06-15;3.1;61;f
64;38;2024-S2;2024-12-10;2.7;64;f
65;39;2024-S1;2024-06-15;3.4;53;f
66;39;2024-S2;2024-12-10;3.7;67;f
67;40;2024-S1;2024-06-15;3.3;59;f
68;40;2024-S2;2024-12-10;3.8;61;f
69;42;2024-S1;2024-06-15;4.6;69;f
70;42;2024-S2;2024-12-10;4.2;55;f
71;43;2024-S1;2024-06-15;3.6;58;f
72;43;2024-S2;2024-12-10;3.9;71;f
73;44;2024-S1;2024-06-15;4.8;66;f
74;44;2024-S2;2024-12-10;2.7;71;f
75;45;2024-S1;2024-06-15;3.8;63;f
76;45;2024-S2;2024-12-10;3.3;55;f
77;46;2024-S1;2024-06-15;4.0;80;f
78;46;2024-S2;2024-12-10;5.0;69;f
79;47;2024-S1;2024-06-15;3.8;68;f
80;48;2024-S1;2024-06-15;5.0;80;f
81;48;2024-S2;2024-12-10;5.0;72;f
82;49;2024-S1;2024-06-15;1.2;64;f
83;49;2024-S2;2024-12-10;3.5;93;f
84;51;2024-S1;2024-06-15;3.6;90;f
85;51;2024-S2;2024-12-10;4.1;76;f
86;52;2024-S1;2024-06-15;3.9;75;f
87;52;2024-S2;2024-12-10;4.3;68;f
88;53;2024-S1;2024-06-15;3.5;77;f
89;54;2024-S1;2024-06-15;3.8;69;f
90;54;2024-S2;2024-12-10;4.9;81;f
91;55;2024-S1;2024-06-15;3.5;67;f
92;55;2024-S2;2024-12-10;3.6;65;f
93;56;2024-S1;2024-06-15;3.1;61;f
94;56;2024-S2;2024-12-10;4.0;63;f
95;57;2024-S1;2024-06-15;3.7;72;f
96;57;2024-S2;2024-12-10;4.0;62;f
97;58;2024-S2;2024-12-10;1.9;63;f
98;59;2024-S1;2024-06-15;3.2;42;f
99;59;2024-S2;2024-12-10;3.4;62;f
100;60;2024-S1;2024-06-15;3.7;79;f
101;60;2024-S2;2024-12-10;4.7;73;f
102;61;2024-S1;2024-06-15;3.7;99;f
103;61;2024-S2;2024-12-10;3.0;55;f
104;62;2024-S1;2024-06-15;4.0;90;f
105;62;2024-S2;2024-12-10;4.5;46;f
106;63;2024-S1;2024-06-15;2.7;70;f
107;63;2024-S2;2024-12-10;4.1;66;f
108;64;2024-S1;2024-06-15;3.1;54;f
109;64;2024-S2;2024-12-10;4.3;86;f
110;65;2024-S1;2024-06-15;4.0;71;f
111;65;2024-S2;2024-12-10;3.2;45;f
112;66;2024-S1;2024-06-15;2.9;43;f
113;66;2024-S2;2024-12-10;3.5;78;f
114;68;2024-S1;2024-06-15;3.7;91;f
115;68;2024-S2;2024-12-10;3.8;48;f
116;69;2024-S1;2024-06-15;3.6;70;f
117;69;2024-S2;2024-12-10;4.0;83;f
118;70;2024-S1;2024-06-15;4.0;65;f
119;70;2024-S2;2024-12-10;4.5;83;t
120;71;2024-S1;2024-06-15;4.7;62;f
121;71;2024-S2;2024-12-10;3.1;54;f
122;72;2024-S1;2024-06-15;4.7;54;f
123;72;2024-S2;2024-12-10;3.5;72;f
124;73;2024-S1;2024-06-15;4.7;53;f
125;73;2024-S2;2024-12-10;4.3;72;f
126;74;2024-S1;2024-06-15;3.6;71;f
127;74;2024-S2;2024-12-10;3.3;66;f
128;75;2024-S1;2024-06-15;3.3;53;f
129;75;2024-S2;2024-12-10;3.1;88;f
130;76;2024-S1;2024-06-15;3.5;81;f
131;76;2024-S2;2024-12-10;3.6;69;f
132;77;2024-S1;2024-06-15;3.7;82;f
133;77;2024-S2;2024-12-10;3.3;69;f
134;78;2024-S1;2024-06-15;3.1;60;f
135;78;2024-S2;2024-12-10;3.4;31;f
136;79;2024-S1;2024-06-15;3.3;69;f
137;79;2024-S2;2024-12-10;3.0;84;f
138;80;2024-S1;2024-06-15;3.9;69;f
139;80;2024-S2;2024-12-10;4.3;61;f
140;81;2024-S1;2024-06-15;4.3;96;f
141;81;2024-S2;2024-12-10;3.9;71;f
142;83;2024-S1;2024-06-15;3.8;52;f
143;83;2024-S2;2024-12-10;3.6;100;f
144;84;2024-S1;2024-06-15;4.9;73;f
145;84;2024-S2;2024-12-10;3.4;86;f
146;85;2024-S1;2024-06-15;3.7;85;f
147;86;2024-S1;2024-06-15;3.3;76;f
148;86;2024-S2;2024-12-10;3.5;71;f
149;87;2024-S1;2024-06-15;3.4;70;f
150;87;2024-S2;2024-12-10;3.9;81;f
151;88;2024-S1;2024-06-15;3.6;92;f
152;88;2024-S2;2024-12-10;3.0;51;f
153;89;2024-S2;2024-12-10;3.4;72;f
154;90;2024-S1;2024-06-15;4.6;69;f
155;90;2024-S2;2024-12-10;3.2;63;f
156;91;2024-S1;2024-06-15;3.7;56;f
157;91;2024-S2;2024-12-10;4.8;39;f
158;92;2024-S1;2024-06-15;3.3;64;f
159;92;2024-S2;2024-12-10;3.2;81;f
160;93;2024-S2;2024-12-10;3.3;80;f
161;96;2024-S1;2024-06-15;4.6;89;t
162;96;2024-S2;2024-12-10;3.2;66;f
163;97;2024-S1;2024-06-15;4.6;89;t
164;97;2024-S2;2024-12-10;4.1;77;f
165;98;2024-S1;2024-06-15;3.3;82;f
166;98;2024-S2;2024-12-10;3.1;50;f
167;99;2024-S1;2024-06-15;3.4;55;f
168;99;2024-S2;2024-12-10;4.0;77;f
169;100;2024-S1;2024-06-15;3.8;80;f
